votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_female,ethnic_male
599649,4.3,98312.0,42949.0,6.7,2.779082835,3.528478397,1339532.0,453.23,0.755255445,0.126609615,0.004978881,0.000946854,0.008581188,0.44048114,1,Nassau County,NY,90.7,76,0.254063981,0.303769053,0.38450435099999997,0.385821427,0.369434018
4543,4.1,51754.0,29322.0,10.9,5.604610094,11.03536429,11119.0,1294.1,0.948885014,0.005689639,0.02431862,0.000367074,0.00789208,0.416903735,0,Walsh County,ND,86.2,408,0.30090850599999996,0.308066441,0.337707625,0.467743416,0.481141599
18424,5.9,48357.0,23581.0,13.8,7.175616072,6.048720066,49336.0,501.52,0.948632821,0.019383841,0.003299377,0.000247453,0.008887697,0.379923289,0,Cortland County,NY,89.9,93,0.229616035,0.37528353999999997,0.341320575,0.487111808,0.461521013
13083,8.4,43356.0,24419.0,15.2,7.784619251,10.46548957,33107.0,312.15,0.97538933,0.00772406,0.002220276,6.25e-05,0.005409969,0.409125023,0,Marshall County,WV,89.2,161,0.289761711,0.270529741,0.36287447500000003,0.496122334,0.479266996
57365,6.2,54581.0,23356.0,14.2,5.716751079,7.457617835,132403.0,201.03,0.506654445,0.445439236,0.004256287,0.001698251,0.011852231,0.40761584,1,Douglas County,GA,87.80000000000001,141,0.17958829899999998,0.353506285,0.41910568300000006,0.256904919,0.249749526
583,7.1,32722.0,19813.0,20.9,5.359394704,19.62025316,1505.0,901.62,0.870967742,0.103085554,0.010518934,0.000701262,0.008415147,0.408835905,0,Cottle County,TX,75.3,240,0.30925666199999996,0.276998598,0.316970547,0.458625526,0.412342216
382,3.4,49132.0,25806.0,15.5,3.398926655,6.451612903,632.0,571.1,0.991452991,0.005128205,0.001709402,0.0,0.0,0.652991453,0,Loup County,NE,95.9,0,0.357264957,0.24102564199999998,0.28547008500000004,0.471794872,0.51965812
4068,7.0,37869.0,24178.0,18.2,8.028627196,14.55431755,7936.0,4568.75,0.957336781,0.003749192,0.011118293,0.000258565,0.010859729,0.525921138,0,Lemhi County,ID,91.4,202,0.368067228,0.23645766,0.300193925,0.471493213,0.485843568
7295,17.6,27268.0,15549.0,30.6,11.28140499,18.52411916,25095.0,2965.36,0.934293172,0.016600049,0.023125867,0.001957745,0.007463904,0.297536504,0,Luna County,NM,68.7,45,0.266946733,0.35223101300000004,0.319642711,0.465372379,0.468920793
7500,6.9,31176.0,19455.0,32.5,12.99768367,23.6666095,23439.0,280.95,0.535029063,0.435863817,0.002797081,0.000917792,0.006468249,0.327782877,0,Crisp County,GA,78.2,85,0.24671124500000002,0.334076307,0.36126043500000005,0.277522836,0.257506228
98060,3.4,45719.0,24454.0,17.7,9.768088919,10.48797191,278831.0,900.7,0.868233078,0.078225965,0.011364054,0.001382521,0.008719231,0.327463742,0,Lubbock County,TX,84.7,165,0.18394539399999998,0.41853646600000005,0.363145469,0.440205976,0.428027103
43744,6.6,43442.0,21384.0,22.9,10.18339947,13.40695748,110527.0,503.84,0.772543542,0.190361867,0.005290497,0.000768257,0.010624645,0.381893579,0,Carroll County,GA,80.3,83,0.194805535,0.375319744,0.38386660100000003,0.39140949,0.381134052
13443,5.8,47227.0,20019.0,15.9,5.05124451,7.131845842,52274.0,551.48,0.773078296,0.129441386,0.010841585,0.007590989,0.024200973,0.252588264,0,Pulaski County,MO,89.80000000000001,32,0.127186637,0.462129611,0.391443227,0.330264369,0.442813927
13605,4.8,52785.0,21957.0,16.9,5.220769583,6.467278193,44911.0,1221.47,0.954537008,0.014349128,0.012759368,0.001135542,0.005347373,0.280891917,0,Atascosa County,TX,75.8,125,0.209332094,0.36370393399999995,0.375018066,0.479756375,0.474780634
49824,6.1,36890.0,21818.0,23.3,9.000595573,15.54033639,122623.0,556.85,0.633422486,0.320006123,0.007870654,0.00136951,0.011528051,0.401379177,0,Wayne County,NC,82.69999999999999,104,0.22942512799999998,0.343086393,0.378637258,0.314036671,0.319385815
9867,4.9,32049.0,16965.0,26.9,11.17200373,16.31557762,28264.0,610.39,0.588749337,0.381425792,0.007146648,0.005306917,0.006049885,0.349088979,0,Scott County,MS,70.89999999999999,110,0.214540952,0.36391296799999995,0.380612065,0.291986556,0.296762781
2166,2.9,46961.0,23268.0,14.0,6.304985337,8.554319932,5042.0,1429.86,0.957560775,0.003914297,0.017717347,0.000618047,0.008240626,0.446229913,0,Morrill County,NE,87.3,172,0.28224145,0.31355583,0.347548414,0.471775855,0.48578492
47741,3.2,48379.0,26906.0,14.1,5.183187852,7.667861799,100948.0,2784.26,0.835237622,0.014084377,0.101184891,0.001057938,0.017589373,0.439191551,0,Pennington County,SD,92.6,140,0.248495888,0.325532188,0.374454933,0.414159813,0.421077809
3812,6.2,50874.0,25562.0,15.6,7.22661976,10.65759637,7028.0,1906.69,0.948852366,0.003967129,0.013034854,0.008075942,0.01020119,0.540096345,0,Boise County,ID,94.2,73,0.356474921,0.214366676,0.313544912,0.457495041,0.491357325
19563,6.6,45409.0,24265.0,17.8,7.506832903,12.78694405,55531.0,532.88,0.954215439,0.021151282,0.002759668,0.00029634,0.007315899,0.362331457,0,Fulton County,NY,86.0,80,0.26872499600000005,0.281060158,0.385427471,0.482590013,0.471625426
6285,7.3,36865.0,16774.0,21.7,11.48836449,13.45320624,18411.0,447.2,0.941587646,0.03570848,0.004172311,0.000108372,0.007098347,0.340558114,0,Brantley County,GA,79.0,46,0.22996477899999998,0.326957464,0.387157952,0.475914386,0.465673259
9892,8.2,30313.0,14269.0,34.6,18.63970588,28.84222805,28065.0,934.27,0.40683536,0.573739365,0.003505313,0.000182568,0.006243838,0.361193267,1,Yazoo County,MS,75.5,131,0.201811077,0.33756891899999997,0.426881368,0.268485048,0.305254318
22096,5.8,43810.0,22923.0,16.2,5.383630751,9.416628388,54984.0,682.84,0.96927653,0.012462584,0.001882566,0.000545944,0.005685348,0.415971686,0,Venango County,PA,89.1,255,0.308364238,0.274139198,0.352284494,0.493363956,0.475912574
7471,5.6,75682.0,50267.0,11.5,4.540643522,7.099035933,9430.0,94796.28,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.771239806,0,North Slope Borough,AK,88.69999999999999,44,0.221781173,0.319733914,0.390365411,0.382213676,0.375296042
18619,5.6,45914.0,22191.0,14.3,6.771981634,9.477918378,49666.0,491.32,0.925379222,0.044729738,0.004719638,0.000524404,0.009011984,0.361625265,0,Dickson County,TN,83.5,166,0.23530211399999998,0.31083574399999997,0.396566123,0.472060909,0.453318313
14879,7.4,32615.0,18535.0,24.1,10.43591041,16.3122961,33984.0,679.62,0.694692232,0.28613342,0.003941558,0.000177815,0.005719705,0.440950716,0,Evangeline Parish,LA,69.4,147,0.21829712799999998,0.35942269400000004,0.376226181,0.343715734,0.350976499
3035,3.7,49162.0,26837.0,13.6,5.807027993,5.796135909,7248.0,409.6,0.962673858,0.011637809,0.004257735,0.000283849,0.007096225,0.430740846,0,Nemaha County,NE,94.80000000000001,409,0.2676696,0.347715016,0.32841328399999997,0.488504116,0.474169742
17268,4.5,60556.0,28255.0,9.9,2.964547677,2.770384708,37762.0,503.27,0.941353941,0.037183084,0.003969724,0.000741015,0.005451755,0.456994654,0,Clinton County,IL,89.5,103,0.25080717799999996,0.294130102,0.40321812300000004,0.464775314,0.476578627
20694,6.5,39506.0,21259.0,19.6,7.804930371,12.66644474,56833.0,499.6,0.964495051,0.015600928,0.00315206,0.000212498,0.005436419,0.366453578,0,Hawkins County,TN,81.0,76,0.274742788,0.27817818099999997,0.374404562,0.49009226,0.474402791
5771,3.1,49780.0,22569.0,13.6,4.988078207,6.906957251,20640.0,2048.68,0.885290148,0.036437247,0.019870631,0.00428126,0.011168505,0.268556005,0,Texas County,OK,69.7,175,0.178091116,0.39029270800000004,0.399460189,0.425426963,0.459863186
46874,2.3,66734.0,33644.0,8.2,3.791446362,5.793052554,81308.0,1668.3,0.918196385,0.01476487,0.041563162,0.000666731,0.008861073,0.504070286,0,Burleigh County,ND,93.5,283,0.229893216,0.33331182700000006,0.396016818,0.461593057,0.456603327
